epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,3313.95,0.93051,0.50985,0.87581,0.87498,0.87954,0.93106,0.6933,0.79845,0.46561,0.7846,0.000429332,0.000429332,0.000429332
76,3357.79,0.94121,0.50283,0.87472,0.90006,0.86973,0.93267,0.7022,0.77423,0.91932,0.78124,0.000427509,0.000427509,0.000427509
77,3401.15,0.92901,0.50319,0.87107,0.90832,0.86536,0.93488,0.7025,0.77768,0.42712,0.78174,0.000425667,0.000425667,0.000425667
78,3444.4,0.92008,0.4996,0.87349,0.88072,0.88062,0.92567,0.69608,0.78071,0.44296,0.7817,0.000423805,0.000423805,0.000423805
79,3487.76,0.93889,0.50354,0.8738,0.88133,0.88781,0.93288,0.70672,0.76685,0.45736,0.77868,0.000421925,0.000421925,0.000421925
80,3532.17,0.91867,0.49837,0.87478,0.89487,0.88746,0.93999,0.71508,0.76773,0.433,0.77938,0.000420027,0.000420027,0.000420027
81,3577.06,0.92827,0.49765,0.87558,0.86835,0.8829,0.92926,0.7038,0.77197,0.44536,0.77873,0.00041811,0.00041811,0.00041811
82,3620.31,0.92169,0.49572,0.87173,0.88873,0.88804,0.93185,0.71127,0.7599,0.44877,0.7775,0.000416175,0.000416175,0.000416175
83,3663.87,0.93549,0.49596,0.87143,0.88017,0.89206,0.93734,0.70948,0.77537,0.41727,0.78078,0.000414222,0.000414222,0.000414222
84,3707.24,0.91625,0.48979,0.86919,0.88968,0.88878,0.93793,0.70758,0.77704,0.4209,0.77942,0.000412251,0.000412251,0.000412251
85,3750.66,0.91885,0.48882,0.86722,0.90471,0.89008,0.94408,0.71358,0.77693,0.41863,0.78029,0.000410262,0.000410262,0.000410262
86,3794.09,0.92309,0.49154,0.86945,0.90104,0.88068,0.94182,0.71362,0.77023,0.47383,0.77911,0.000408257,0.000408257,0.000408257
87,3837.21,0.91242,0.48725,0.86679,0.88064,0.88118,0.92495,0.70187,0.77422,1.48283,0.7793,0.000406234,0.000406234,0.000406234
88,3880.58,0.90848,0.48112,0.86543,0.89222,0.88546,0.93724,0.71468,0.75401,0.42025,0.77458,0.000404194,0.000404194,0.000404194
89,3923.9,0.90686,0.48071,0.86865,0.88613,0.87855,0.93461,0.71385,0.75092,0.4261,0.77447,0.000402138,0.000402138,0.000402138
90,3966.97,0.91771,0.48513,0.87118,0.88701,0.88439,0.93365,0.71344,0.75687,0.43469,0.77577,0.000400066,0.000400066,0.000400066
91,4010.19,0.92928,0.48218,0.86957,0.8884,0.89902,0.94026,0.70587,0.78651,0.56199,0.78125,0.000397977,0.000397977,0.000397977
92,4053.43,0.92384,0.47927,0.87105,0.89316,0.87868,0.93551,0.71167,0.76278,0.45484,0.77712,0.000395872,0.000395872,0.000395872
93,4096.87,0.92559,0.48387,0.86992,0.90101,0.89455,0.94346,0.71671,0.76358,0.40164,0.77729,0.000393752,0.000393752,0.000393752
94,4141.64,0.90753,0.47701,0.86919,0.89417,0.8827,0.94106,0.72013,0.74315,0.97682,0.77248,0.000391616,0.000391616,0.000391616
95,4186.41,0.90155,0.47543,0.86396,0.89547,0.89951,0.94393,0.72235,0.75121,0.40186,0.77387,0.000389464,0.000389464,0.000389464
96,4230.81,0.90265,0.47271,0.86856,0.88678,0.88931,0.93176,0.70099,0.78914,0.41969,0.7807,0.000387298,0.000387298,0.000387298
97,4274.1,0.9094,0.48026,0.86718,0.90164,0.89017,0.93858,0.71655,0.75829,0.39642,0.77717,0.000385117,0.000385117,0.000385117
98,4317.33,0.90961,0.47606,0.86597,0.89345,0.88246,0.93396,0.70669,0.77099,0.59961,0.77846,0.000382922,0.000382922,0.000382922
99,4360.13,0.90122,0.46858,0.86813,0.87501,0.90045,0.93937,0.72008,0.74591,0.39957,0.77356,0.000380712,0.000380712,0.000380712
100,4402.78,0.90214,0.47306,0.87043,0.89029,0.9006,0.94299,0.71845,0.76672,0.42799,0.77693,0.000378488,0.000378488,0.000378488
101,4445.88,0.92,0.47534,0.86757,0.89667,0.89621,0.94508,0.72592,0.74891,0.79292,0.77363,0.00037625,0.00037625,0.00037625
102,4490.44,0.90648,0.47076,0.87065,0.88685,0.89094,0.94048,0.71716,0.75952,0.47077,0.77516,0.000373999,0.000373999,0.000373999
103,4533.42,0.89953,0.46482,0.86689,0.91342,0.88588,0.94567,0.72289,0.75236,0.42059,0.77385,0.000371734,0.000371734,0.000371734
104,4576.24,0.89222,0.47016,0.86419,0.89349,0.90289,0.94399,0.72273,0.75495,0.52293,0.77501,0.000369456,0.000369456,0.000369456
105,4619.84,0.8953,0.46228,0.86268,0.89181,0.8985,0.94721,0.72235,0.76447,0.43851,0.77621,0.000367166,0.000367166,0.000367166
