epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,5976.27,0.81297,0.38047,0.83877,0.94717,0.92242,0.97131,0.7671,0.66184,0.30074,0.71417,0.0005677,0.0005677,0.0005677
133,6020.87,0.78425,0.36978,0.83501,0.94355,0.92724,0.9719,0.76958,0.65356,0.31739,0.7124,0.0005644,0.0005644,0.0005644
134,6066.62,0.78891,0.36799,0.83593,0.92843,0.93896,0.96709,0.76396,0.65468,0.302,0.713,0.0005611,0.0005611,0.0005611
135,6111.42,0.8145,0.38333,0.83931,0.95426,0.92567,0.97132,0.77355,0.64506,0.30504,0.71208,0.0005578,0.0005578,0.0005578
136,6155.93,0.79134,0.37163,0.83616,0.9494,0.92776,0.97442,0.76207,0.67313,0.30976,0.71534,0.0005545,0.0005545,0.0005545
137,6201.46,0.78171,0.36695,0.83748,0.94502,0.92637,0.9696,0.76499,0.65797,0.34673,0.71329,0.0005512,0.0005512,0.0005512
138,6246.03,0.80355,0.37616,0.83698,0.94866,0.93038,0.97363,0.77224,0.65459,0.3066,0.71302,0.0005479,0.0005479,0.0005479
139,6292.41,0.79633,0.37275,0.83785,0.93287,0.94469,0.97251,0.76879,0.65581,0.31482,0.71345,0.0005446,0.0005446,0.0005446
140,6336.85,0.79677,0.37694,0.83636,0.95629,0.91404,0.96986,0.76667,0.64957,0.50223,0.71171,0.0005413,0.0005413,0.0005413
141,6381.4,0.79223,0.37028,0.83453,0.94336,0.92916,0.96788,0.76673,0.65597,0.33274,0.71306,0.000538,0.000538,0.000538
142,6426.35,0.78943,0.37334,0.83171,0.9458,0.93331,0.97167,0.77384,0.64203,0.31624,0.71038,0.0005347,0.0005347,0.0005347
143,6470.81,0.79937,0.37468,0.83519,0.9476,0.93296,0.97151,0.77289,0.64357,0.38893,0.7103,0.0005314,0.0005314,0.0005314
144,6514.68,0.77656,0.36945,0.83588,0.94883,0.93916,0.97336,0.77021,0.65071,0.66267,0.71093,0.0005281,0.0005281,0.0005281
145,6559.68,0.78712,0.37229,0.83726,0.95166,0.93043,0.97258,0.77454,0.63971,0.30598,0.70949,0.0005248,0.0005248,0.0005248
146,6604.53,0.79166,0.36886,0.83482,0.95661,0.92756,0.97414,0.77633,0.63884,0.33035,0.7103,0.0005215,0.0005215,0.0005215
147,6650.26,0.77811,0.36814,0.83413,0.94739,0.94452,0.97579,0.77703,0.63758,0.30075,0.71026,0.0005182,0.0005182,0.0005182
148,6696.51,0.79497,0.37321,0.83518,0.94591,0.93526,0.9741,0.775,0.64167,0.36716,0.70997,0.0005149,0.0005149,0.0005149
149,6740.78,0.78208,0.36008,0.83631,0.95749,0.92996,0.97328,0.77248,0.65128,0.36054,0.7115,0.0005116,0.0005116,0.0005116
150,6784.78,0.78039,0.36074,0.8359,0.9581,0.93585,0.97538,0.78057,0.63107,0.40582,0.70867,0.0005083,0.0005083,0.0005083
151,6830.91,0.78133,0.36607,0.8348,0.95283,0.93899,0.97486,0.77666,0.63937,0.30139,0.7112,0.000505,0.000505,0.000505
152,6875.12,0.77467,0.36055,0.83327,0.94986,0.93607,0.97364,0.78012,0.63606,0.48214,0.7094,0.0005017,0.0005017,0.0005017
153,6919.71,0.7723,0.36335,0.83291,0.94667,0.9364,0.97408,0.77828,0.63437,0.41049,0.70906,0.0004984,0.0004984,0.0004984
154,6963.68,0.77246,0.36197,0.83409,0.94823,0.93744,0.97297,0.77596,0.63998,0.53727,0.70929,0.0004951,0.0004951,0.0004951
155,7008.01,0.77147,0.36099,0.83207,0.95313,0.93883,0.9762,0.77659,0.63432,0.48034,0.70947,0.0004918,0.0004918,0.0004918
156,7053.31,0.76306,0.3553,0.83066,0.94749,0.93677,0.97177,0.77824,0.63275,0.37607,0.70962,0.0004885,0.0004885,0.0004885
157,7098.06,0.76719,0.35889,0.83277,0.94793,0.93636,0.97047,0.77228,0.6351,0.46908,0.7094,0.0004852,0.0004852,0.0004852
158,7142.11,0.76046,0.35649,0.83125,0.94993,0.92996,0.97118,0.77886,0.62855,0.31394,0.7088,0.0004819,0.0004819,0.0004819
159,7186.67,0.76455,0.35969,0.83038,0.95167,0.93912,0.97321,0.78191,0.62644,0.29127,0.70716,0.0004786,0.0004786,0.0004786
160,7232.38,0.77408,0.36106,0.83706,0.94987,0.93284,0.97313,0.77582,0.64326,0.33647,0.71077,0.0004753,0.0004753,0.0004753
161,7277.25,0.77003,0.35951,0.8311,0.95127,0.93953,0.97682,0.7802,0.63449,0.6041,0.7088,0.000472,0.000472,0.000472
162,7323.06,0.76666,0.35629,0.83088,0.95872,0.93251,0.97681,0.78293,0.62611,0.44208,0.70832,0.0004687,0.0004687,0.0004687
163,7369.41,0.76304,0.35723,0.82977,0.94588,0.93718,0.97445,0.78151,0.62113,0.33964,0.70666,0.0004654,0.0004654,0.0004654
164,7414.1,0.76302,0.35749,0.82807,0.95786,0.931,0.97509,0.78366,0.62047,0.29097,0.70649,0.0004621,0.0004621,0.0004621
165,7460.02,0.75314,0.34828,0.82992,0.95116,0.94674,0.97399,0.78429,0.61563,0.37894,0.70616,0.0004588,0.0004588,0.0004588
